input,../bitplanes/kodim19/0.txt
samples,100
ranges,"8, 16, 32, 64, 128, 256"
adaptative_intervals,"32, 512, 1024, 5120, 10240"
range,adaptative_interval,original_size,encoded_size,compression_ratio,compression,encoding_time,decoding_time
8,32,393344,491880,0.80,-25.05,0.008644,0.007296
8,512,393344,393168,1.00,0.04,0.006837,0.005958
8,1024,393344,389880,1.01,0.88,0.006565,0.005888
8,5120,393344,390656,1.01,0.68,0.006620,0.005748
8,10240,393344,395848,0.99,-0.64,0.006579,0.005825
16,32,393344,514008,0.77,-30.68,0.007770,0.006281
16,512,393344,393288,1.00,0.01,0.007005,0.006149
16,1024,393344,389560,1.01,0.96,0.006862,0.006055
16,5120,393344,389776,1.01,0.91,0.006767,0.005801
16,10240,393344,392064,1.00,0.33,0.006621,0.005776
32,32,393344,539464,0.73,-37.15,0.008660,0.006540
32,512,393344,395320,1.00,-0.50,0.007401,0.006172
32,1024,393344,390976,1.01,0.60,0.007135,0.005972
32,5120,393344,390016,1.01,0.85,0.007145,0.005940
32,10240,393344,393968,1.00,-0.16,0.007213,0.006059
64,32,393344,563752,0.70,-43.32,0.009215,0.006354
64,512,393344,396904,0.99,-0.91,0.007501,0.005981
64,1024,393344,391736,1.00,0.41,0.007337,0.005944
64,5120,393344,390480,1.01,0.73,0.007279,0.005893
64,10240,393344,393656,1.00,-0.08,0.007127,0.005887
128,32,393344,588232,0.67,-49.55,0.009000,0.005699
128,512,393344,398568,0.99,-1.33,0.007395,0.005271
128,1024,393344,392568,1.00,0.20,0.007472,0.005601
128,5120,393344,391120,1.01,0.57,0.006904,0.005193
128,10240,393344,394104,1.00,-0.19,0.007403,0.005579
256,32,393344,612888,0.64,-55.81,0.009566,0.005536
256,512,393344,400096,0.98,-1.72,0.008254,0.005190
256,1024,393344,393432,1.00,-0.02,0.007833,0.005205
256,5120,393344,391080,1.01,0.58,0.006613,0.004977
256,10240,393344,393952,1.00,-0.15,0.006396,0.004951
